Timestamp,Output Angle [deg],Angular Velocity [dps],Gravity Torque [Nm],Friction Torque [Nm],Damping Torque [Nm],Target Torque [Nm],Applied Torque [Nm],Is Holding
1752828747.3046482,175.6697249561303,-38.39669831006641,0.0,0.0,0.0,0.0,0.0,True
1752828747.3161495,175.42802204928662,-38.35848546576437,0.0,0.0,0.0,0.0,0.0,True
1752828747.3294861,174.99954871442742,-38.30624762590267,0.0,0.0,0.0,0.0,0.0,False
1752828747.3409176,174.49966315709165,-38.239850899070746,0.07052281798920623,-0.0036913551884958672,0.06674113036604983,0.13357259316676018,0.09350081521673212,False
1752828747.3522336,173.62074349584194,-38.154013063922044,0.08174854893455157,-0.0036913197803888683,0.06659131508143694,0.14464854423559964,0.12930422552993937,False
1752828747.3634677,172.60449263752196,-38.046803260667744,0.09470414926433435,-0.003691275556345025,0.06640419867571666,0.157417072383706,0.148983218327576,False
1752828747.3744025,171.41245784695204,-37.91631367088509,0.10986245057966494,-0.00369122172938924,0.06617645137758825,0.17234768022786395,0.16533834165777755,False
1752828747.3860312,170.12703784237434,-37.76140935918767,0.12615479153695192,-0.003691157831360665,0.06590609235112269,0.18836972605671393,0.181460310737033,False
1752828747.397637,168.84161783779663,-37.58229125442174,0.14238363883184732,-0.003691083945142449,0.06559347228331293,0.20428602717001781,0.19743831224012237,False
1752828747.408913,167.40238689250018,-37.37782581015568,0.1604689771794008,-0.003690999603146689,0.06523661276241335,0.22201459033866747,0.21464170690910395,False
1752828747.4206595,165.8148382543679,-37.14543911047168,0.18030018316861138,-0.0036909037436330698,0.06483102145768045,0.24144030088265878,0.2334007226905923,False
1752828747.432089,164.26024910353246,-36.88694823104061,0.1995856377097475,-0.0036907971161453043,0.06437986976443567,0.26027471035803784,0.2522125140578042,False
1752828747.4435217,162.49142328526742,-36.59953734903182,0.22134932790792816,-0.0036906785591564756,0.06387824314472423,0.2815368924934959,0.2727395789627884,False
1752828747.4548063,160.733583962768,-36.2843052092382,0.24276889871489418,-0.003690548525898811,0.06332805926997366,0.302406409458969,0.29350636031011484,False
1752828747.46585,158.92081216144047,-35.94131408463751,0.26461829819154525,-0.003690407042059913,0.06272942682703365,0.323657317976519,0.3146120306765977,False
1752828747.4772258,157.05860112916764,-35.57062524250774,0.28678758628640094,-0.0036902541329125347,0.062082452747476646,0.34517978490096507,0.33600945863365483,False
1752828747.4881797,155.1963900968948,-35.17323240335865,0.30865394971153154,-0.0036900902083663854,0.06138887140077666,0.3663527309039418,0.35724974922285574,False
1752828747.499102,153.2572735942626,-34.74889023797088,0.3310765192032226,-0.003689915167223163,0.06064825460667078,0.38803485864267023,0.3787993258167259,False
1752828747.5105705,151.3511165789273,-34.29876519377716,0.35274853784474103,-0.003689729490642433,0.05986263819998423,0.4089214465540828,0.3998848103328757,False
1752828747.5216446,149.444959563592,-33.82348864937134,0.3740301677811688,-0.003689533439067866,0.059033124144245976,0.42937375848634696,0.4205270740403056,False
1752828747.5324914,147.42893759060044,-33.32248752509347,0.39608750332201587,-0.0036893267761041013,0.05815871222676177,0.4505568887726735,0.44154794435296313,False
1752828747.543461,145.45686160067137,-32.79753149624926,0.41718979651408317,-0.003689110231742203,0.057242491113609184,0.4707431773959502,0.46198460748305403,False
1752828747.5546517,143.52873159380485,-32.24983045567822,0.43734422745891627,-0.003688884305062968,0.05628657246615282,0.4899419156200061,0.4815547231789205,False
1752828747.565473,141.57313534752424,-31.680015328282725,0.4572797845177123,-0.0036886492563229165,0.05529205745608058,0.50888319271747,0.5006846518559052,False
1752828747.5763881,139.54063363088426,-31.08755940388533,0.4774345114681303,-0.003688404868254103,0.05425802680071247,0.5280041334005887,0.5198082889371837,False
